,country_name,country_code,2005,2007,2008,2010,2012,2014,continent,sub_region,median_avg,pre_financial,post_financial,recovered_yr,recovered_yr_2014
57,France,FRA,8.49,7.66,7.06,8.87,9.4,10.29,Europe,Western Europe,7.36,-1.4300000000000006,-1.8099999999999996,-2.3400000000000007,-3.2299999999999995
58,French Polynesia,PYF,11.76,11.74,11.91,12.2,12.21,12.2,Oceania,Polynesia,11.82,0.15000000000000036,-0.28999999999999915,-0.3000000000000007,-0.28999999999999915
59,Gabon,GAB,16.91,18.28,19.09,20.39,20.49,20.57,Africa,Middle Africa,18.69,2.1799999999999997,-1.3000000000000007,-1.3999999999999986,-1.4800000000000004
60,"Gambia, The",GMB,9.29,9.3,9.3,9.36,9.42,9.5,Africa,Western Africa,9.3,0.010000000000001563,-0.05999999999999872,-0.11999999999999922,-0.1999999999999993
61,Georgia,GEO,13.81,13.28,17.87,20.2,19.65,17.44,Asia,Western Asia,15.58,4.0600000000000005,-2.3299999999999983,-1.7799999999999976,0.4299999999999997
62,Germany,DEU,11.17,8.66,7.52,6.97,5.38,4.98,Europe,Western Europe,8.09,-3.6500000000000004,0.5499999999999998,2.1399999999999997,2.539999999999999
63,Ghana,GHA,5.62,4.84,4.99,5.38,5.91,6.52,Africa,Western Africa,4.92,-0.6299999999999999,-0.3899999999999997,-0.9199999999999999,-1.5299999999999994
64,Greece,GRC,9.99,8.4,7.76,12.71,24.44,26.49,Europe,Southern Europe,8.08,-2.2300000000000004,-4.950000000000001,-16.68,-18.729999999999997
65,Guam,GUM,7.0,8.3,8.72,8.2,12.2,7.6,Oceania,Micronesia,8.51,1.7200000000000006,0.5200000000000014,-3.4799999999999986,1.120000000000001
66,Guatemala,GTM,3.05,3.11,3.31,3.5,2.76,2.72,Americas,Central America,3.21,0.26000000000000023,-0.18999999999999995,0.5500000000000003,0.5899999999999999
67,Guinea,GIN,4.65,4.67,4.72,4.77,4.82,4.9,Africa,Western Africa,4.7,0.0699999999999994,-0.04999999999999982,-0.10000000000000053,-0.1800000000000006
68,Guinea-Bissau,GNB,6.21,6.06,5.89,6.08,5.87,5.8,Africa,Western Africa,5.98,-0.3200000000000003,-0.1900000000000004,0.019999999999999574,0.08999999999999986
69,Guyana,GUY,11.02,10.96,11.27,11.8,12.34,12.92,Americas,South America,11.12,0.25,-0.5300000000000011,-1.0700000000000003,-1.6500000000000004
70,Haiti,HTI,14.42,16.8,16.34,15.38,14.1,13.95,Americas,Caribbean,16.57,1.92,0.9599999999999991,2.24,2.3900000000000006
71,Honduras,HND,4.91,3.21,3.16,4.12,3.75,7.08,Americas,Central America,3.18,-1.75,-0.96,-0.5899999999999999,-3.92
